Radiation,Cost
0,0
0,0
62.48,46.1854
230.52,12.51806
391.83,7.364581
510.15,5.656501
580.5,4.970997
575.1,5.017673
505.45,5.709098
378.95,7.614893
214.3,13.46553
50.15,57.54065
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60.42,47.76008
227.12,12.70546
391.25,7.375499
514.05,5.613586
583.95,4.941628
583.55,4.945016
516.17,5.59053
390.77,7.384558
223.92,12.88703
54.2,53.24103
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
62.3,46.31884
232.23,12.42589
391.5,7.370789
510.6,5.651516
601.92,4.794099
595.7,4.844156
521.3,5.535515
392.4,7.353883
223.65,12.90259
55.05,52.41896
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
49.77,57.97998
193.8,14.88991
342.67,8.421116
456,6.32821
605.27,4.767565
596.27,4.839525
521.02,5.53849
386.95,7.457459
216.35,13.33794
52.42,55.04891
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
57.12,50.51932
223.2,12.9286
389.38,7.41092
515.08,5.60236
589.05,4.898844
586.25,4.922241
517,5.581555
389.83,7.402365
222,12.99849
55.38,52.10661
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
46.9,61.52801
183.08,15.76176
328.17,8.793198
420.3,6.865724
516.27,5.589447
466.73,6.182726
367.77,7.846382
248.85,11.596
129.55,22.27452
33.6,85.88285
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
41.27,69.92159
153.95,18.74416
283.02,10.19597
378.83,7.617305
413.23,6.983191
387.27,7.451297
319.27,9.038318
220.83,13.06735
116.2,24.8336
32.2,89.61689
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
49.27,58.56837
200.48,14.39377
366.67,7.869921
500.73,5.762914
525.45,5.491795
542.35,5.320667
485.17,5.947738
375.05,7.694078
218.33,13.21698
54.98,52.4857
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
62.73,46.00134
237.75,12.13739
408.58,7.062665
536.48,5.378884
604.9,4.770481
606.77,4.755779
542.52,5.319
417.6,6.910115
248.58,11.60859
69.7,41.4012
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
74.55,38.70776
269.3,10.71542
449.77,6.415866
