Demand,Radiations,Solar_Power,Grid_Power
50081,22929,22929,27152
14025,20643,14025,0
39095,7859,7859,31236
66331,9424,9424,56907
17970,11754,11754,6216
60114,28480,28480,31634
40565,25724,25724,14841
33918,51100,33918,0
17553,33272,17553,0
25432,47961,25432,0
61955,2027,2027,59928
7607,20881,7607,0
41039,43382,41039,0
42075,32638,32638,9437
55478,27692,27692,27786
55170,24830,24830,30340
25628,21138,21138,4490
4392,29568,4392,0
26426,19923,19923,6503
78196,30377,30377,47819
7963,4377,4377,3586
71798,46865,46865,24933
36941,52666,36941,0
11825,36119,11825,0
4156,36663,4156,0
72390,41261,41261,31129
23731,55057,23731,0
18061,22211,18061,0
55967,44801,44801,11166
32460,34916,32460,0
57289,56589,56589,700
10796,1416,1416,9380
10638,8623,8623,2015
16856,13520,13520,3336
10887,19929,10887,0
70034,5126,5126,64908
29568,23158,23158,6410
10872,21218,10872,0
18313,44967,18313,0
41904,8390,8390,33514
37001,3812,3812,33189
58960,13484,13484,45476
48900,18494,18494,30406
60208,7322,7322,52886
57144,54118,54118,3026
39603,32119,32119,7484
53616,29236,29236,24380
70549,6121,6121,64428
63847,14948,14948,48899
27679,11050,11050,16629
20700,44581,20700,0
65149,22384,22384,42765
21180,37673,21180,0
30415,26001,26001,4414
32638,25228,25228,7410
41362,41007,41007,355
30423,8073,8073,22350
68753,41258,41258,27495
49097,24148,24148,24949
20195,36179,20195,0
36884,38680,36884,0
49585,41068,41068,8517
12028,45842,12028,0
68821,58490,58490,10331
7023,42292,7023,0
30262,53056,30262,0
25219,16358,16358,8861
72210,54563,54563,17647
43605,41617,41617,1988
11429,17293,11429,0
13956,20411,13956,0
14400,27902,14400,0
67795,58320,58320,9475
9495,22492,9495,0
58726,43584,43584,15142
18477,21284,18477,0
68831,31835,31835,36996
70238,46014,46014,24224
63727,18033,18033,45694
25612,10290,10290,15322
52460,2590,2590,49870
16719,52607,16719,0
67565,26824,26824,40741
63046,41026,41026,22020
29403,20559,20559,8844
66828,646,646,66182
57028,21927,21927,35101
44196,24964,24964,19232
66881,56978,56978,9903
50115,44720,44720,5395
39004,31434,31434,7570
16832,35963,16832,0
23451,35533,23451,0
34161,58581,34161,0
24895,43558,24895,0
31627,26795,26795,4832
74068,6680,6680,67388
20739,6985,6985,13754
24713,42877,24713,0
42745,20164,20164,22581
68312,44878,44878,23434
15174,20652,15174,0
33040,13494,13494,19546
17254,28703,17254,0
43629,35572,35572,8057
24927,36570,24927,0
10350,56826,10350,0
13705,27519,13705,0
71992,19342,19342,52650
51179,11347,11347,39832
1185,49880,1185,0
1444,54486,1444,0
23435,59983,23435,0
42204,41480,41480,724
56782,13840,13840,42942
59735,50927,50927,8808
39850,40304,39850,0
28409,7412,7412,20997
79734,6672,6672,73062
11949,8563,8563,3386
59155,55135,55135,4020
74993,17884,17884,57109
74967,33410,33410,41557
76978,31453,31453,45525
2679,29449,2679,0
11316,59384,11316,0
30144,22736,22736,7408
60794,17382,17382,43412
38631,9823,9823,28808
69539,56056,56056,13483
31698,37163,31698,0
52702,8155,8155,44547
15304,42449,15304,0
9906,39960,9906,0
4546,59325,4546,0
21943,19948,19948,1995
22888,11490,11490,11398
60576,21197,21197,39379
14441,40357,14441,0
26900,29801,26900,0
44686,10327,10327,34359
14857,6037,6037,8820
39011,49544,39011,0
34004,677,677,33327
27128,47045,27128,0
34969,42734,34969,0
16033,36392,16033,0
62902,54053,54053,8849
47081,39719,39719,7362
36568,5374,5374,31194
70864,58951,58951,11913
71709,3190,3190,68519
79180,14484,14484,64696
9360,11375,9360,0
33302,38113,33302,0
76343,28236,28236,48107
23698,15956,15956,7742
30791,45851,30791,0
38260,40257,38260,0
78165,10064,10064,68101
20937,14126,14126,6811
54574,30882,30882,23692
61973,38604,38604,23369
42237,14554,14554,27683
1997,7143,1997,0
19227,26652,19227,0
67859,6112,6112,61747
77716,29789,29789,47927
53764,41866,41866,11898
33294,30353,30353,2941
50752,12931,12931,37821
68518,53995,53995,14523
67006,3394,3394,63612
49849,4611,4611,45238
27652,48889,27652,0
69113,47959,47959,21154
35557,35006,35006,551
30681,25711,25711,4970
72723,33150,33150,39573
49151,51520,49151,0
36655,38251,36655,0
56614,24084,24084,32530
41342,59986,41342,0
71173,54580,54580,16593
32037,9529,9529,22508
45213,27795,27795,17418
65234,44719,44719,20515
67149,40369,40369,26780
6948,22660,6948,0
49206,22350,22350,26856
13079,4711,4711,8368
44703,59329,44703,0
71374,31680,31680,39694
24153,3278,3278,20875
35357,19893,19893,15464
28104,13499,13499,14605
28787,24538,24538,4249
7996,1126,1126,6870
6245,36483,6245,0
39503,44623,39503,0
58779,44859,44859,13920
53214,25526,25526,27688
35684,49648,35684,0
28289,41300,28289,0
62042,58222,58222,3820
7531,28045,7531,0
69119,7824,7824,61295
34595,19026,19026,15569
3960,41251,3960,0
40280,51098,40280,0
75178,49994,49994,25184
60664,7102,7102,53562
3878,38009,3878,0
46092,40229,40229,5863
33607,12211,12211,21396
27261,4191,4191,23070
45275,58817,45275,0
46936,46113,46113,823
33591,18443,18443,15148
73238,16767,16767,56471
24067,39903,24067,0
42157,42760,42157,0
50784,41074,41074,9710
42353,38244,38244,4109
40221,14732,14732,25489
17878,55834,17878,0
51475,13608,13608,37867
78627,26518,26518,52109
58283,40622,40622,17661
55799,41795,41795,14004
20098,46934,20098,0
28000,11700,11700,16300
54697,15684,15684,39013
15583,19278,15583,0
45678,43521,43521,2157
71636,45863,45863,25773
35819,44169,35819,0
49194,44563,44563,4631
26847,9573,9573,17274
36836,27993,27993,8843
22792,18037,18037,4755
67684,6018,6018,61666
32081,13011,13011,19070
62005,58594,58594,3411
70285,13270,13270,57015
14682,7762,7762,6920
7824,23651,7824,0
47376,115,115,47261
