temp,humidity,cloud_cover,wind_speed,solar_radiation
278.52,98,0.0,3.21,0.0
278.43,99,0.0,3.23,0.0
278.4,97,8.0,2.89,62.48
277.49,96,6.0,3.02,230.52
277.94,92,3.0,2.73,391.83
285.14,71,3.0,3.0,510.15
287.69,61,0.0,3.53,580.5
288.03,56,11.0,3.94,575.1
289.47,49,17.0,4.06,505.45
290.34,45,17.0,3.97,378.95
288.23,51,31.0,4.0,214.3
287.67,55,49.0,3.13,50.15
286.26,61,54.0,2.6,0.0
285.71,65,34.0,2.38,0.0
283.89,72,31.0,2.38,0.0
281.39,82,34.0,2.47,0.0
281.33,83,30.0,2.45,0.0
280.07,87,12.0,2.37,0.0
280.11,87,3.0,2.44,0.0
281.01,85,2.0,2.59,0.0
280.48,88,6.0,2.67,0.0
280.01,89,1.0,2.74,0.0
279.32,93,3.0,2.88,0.0
279.6,92,7.0,2.98,0.0
279.94,92,16.0,2.99,0.0
279.9,92,34.0,2.96,0.0
279.46,91,30.0,3.07,60.42
279.52,88,10.0,3.63,227.12
279.36,85,2.0,3.26,391.25
283.7,64,2.0,3.72,514.05
288.29,51,0.0,4.29,583.95
288.49,48,0.0,4.6,583.55
290.15,43,0.0,4.75,516.17
290.47,40,0.0,4.72,390.77
288.48,50,0.0,4.44,223.92
288.15,53,0.0,3.15,54.2
287.09,56,2.0,2.6,0.0
286.22,58,2.0,2.61,0.0
284.74,65,3.0,2.5,0.0
283.31,73,15.0,2.38,0.0
282.34,75,3.0,2.35,0.0
280.18,83,1.0,2.39,0.0
280.31,84,50.0,2.47,0.0
280.41,84,96.0,2.5,0.0
279.67,86,96.0,2.62,0.0
279.07,86,78.0,2.73,0.0
277.59,89,32.0,2.58,0.0
277.4,90,0.0,2.86,0.0
278.32,90,8.0,2.98,0.0
278.39,90,61.0,3.04,0.0
278.91,89,72.0,2.92,62.3
280.25,76,84.0,3.51,232.23
282.45,74,98.0,3.44,391.5
287.91,58,96.0,3.97,510.6
288.54,55,87.0,4.42,601.92
288.98,53,88.0,4.82,595.7
290.64,48,78.0,4.92,521.3
290.81,46,74.0,5.02,392.4
289.25,53,97.0,4.98,223.65
288.73,55,75.0,4.04,55.05
287.5,60,79.0,3.56,0.0
286.96,65,60.0,3.75,0.0
285.18,72,41.0,3.71,0.0
283.91,78,32.0,3.57,0.0
283.83,80,37.0,3.18,0.0
282.26,84,37.0,3.09,0.0
282.23,85,20.0,3.16,0.0
282.26,85,5.0,3.1,0.0
281.16,89,3.0,3.13,0.0
280.6,90,3.0,3.33,0.0
279.87,92,6.0,3.57,0.0
279.9,91,7.0,3.76,0.0
280.02,90,12.0,4.01,0.0
279.99,89,10.0,3.92,0.0
281.41,85,2.0,4.0,49.77
281.83,82,10.0,4.36,193.8
282.03,80,8.0,4.32,342.67
287.51,64,10.0,4.71,456.0
289.44,56,15.0,5.1,605.27
289.57,53,10.0,5.32,596.27
290.26,49,7.0,5.49,521.02
291.34,47,18.0,5.46,386.95
289.95,56,37.0,5.26,216.35
289.65,58,44.0,4.5,52.42
289.06,59,51.0,4.21,0.0
288.98,62,26.0,4.39,0.0
287.31,70,31.0,4.31,0.0
284.8,80,34.0,4.02,0.0
284.66,82,25.0,3.86,0.0
283.44,85,43.0,3.77,0.0
282.88,86,62.0,3.77,0.0
283.02,86,40.0,3.89,0.0
283.08,86,51.0,4.02,0.0
283.01,86,69.0,4.02,0.0
281.19,87,85.0,4.24,0.0
281.08,87,79.0,4.11,0.0
281.26,88,32.0,4.08,0.0
281.31,87,16.0,4.02,0.0
281.47,85,3.0,3.84,57.12
281.44,82,9.0,4.19,223.2
282.73,80,42.0,4.12,389.38
287.81,64,28.0,4.63,515.08
290.51,55,30.0,5.07,589.05
290.74,53,10.0,5.33,586.25
292.12,50,1.0,5.51,517.0
292.5,49,5.0,5.51,389.83
291.18,57,5.0,5.39,222.0
290.9,58,40.0,4.53,55.38
290.35,61,30.0,4.23,0.0
290.11,63,27.0,4.34,0.0
288.11,70,11.0,4.19,0.0
286.16,78,9.0,4.26,0.0
286.0,80,11.0,4.3,0.0
284.36,86,9.0,4.2,0.0
284.39,86,8.0,4.07,0.0
284.49,86,10.0,4.05,0.0
283.97,88,18.0,4.14,0.0
283.39,88,17.0,4.32,0.0
282.61,89,15.0,4.35,0.0
282.66,89,21.0,4.32,0.0
282.45,88,37.0,4.32,0.0
282.51,88,54.0,4.3,0.0
282.96,86,42.0,4.19,46.9
285.22,78,54.0,4.34,183.08
285.5,77,43.0,4.19,328.17
290.72,64,84.0,4.45,420.3
291.14,56,46.0,4.77,516.27
291.4,54,33.0,4.98,466.73
294.18,47,53.0,5.07,367.77
294.26,48,56.0,4.93,248.85
292.46,60,43.0,4.47,129.55
292.02,63,75.0,3.27,33.6
290.81,70,64.0,2.55,0.0
289.75,76,61.0,2.45,0.0
286.9,84,71.0,2.11,0.0
283.55,93,85.0,2.85,0.0
285.7,85,83.0,1.68,0.0
286.06,85,62.0,0.49,0.0
283.48,91,68.0,0.53,0.0
282.81,93,64.0,1.56,0.0
282.98,93,78.0,1.64,0.0
282.91,92,80.0,1.73,0.0
283.21,90,99.0,1.69,0.0
282.95,90,97.0,1.71,0.0
281.87,92,62.0,1.79,0.0
281.9,92,48.0,2.24,0.0
282.48,90,57.0,1.98,41.27
284.66,84,40.0,3.0,153.95
287.25,73,65.0,3.04,283.02
290.01,65,85.0,3.63,378.83
291.69,60,99.0,4.15,413.23
291.93,58,99.0,4.38,387.27
292.61,58,100.0,4.38,319.27
292.44,64,99.0,3.8,220.83
289.94,80,91.0,2.69,116.2
289.57,84,90.0,2.7,32.2
289.28,87,70.0,2.63,0.0
289.39,87,95.0,3.08,0.0
287.93,90,59.0,3.72,0.0
288.62,88,47.0,3.97,0.0
288.31,89,41.0,3.4,0.0
286.73,91,48.0,2.37,0.0
286.4,94,47.0,1.75,0.0
286.89,93,36.0,1.57,0.0
285.94,94,31.0,1.62,0.0
285.16,94,51.0,1.73,0.0
284.51,93,26.0,1.66,0.0
283.62,94,18.0,1.64,0.0
283.11,94,42.0,1.69,0.0
282.45,94,34.0,0.98,0.0
282.4,95,32.0,1.25,49.27
283.9,92,77.0,1.85,200.48
285.57,88,39.0,1.32,366.67
289.45,78,7.0,1.57,500.73
290.39,73,14.0,1.99,525.45
290.46,75,21.0,2.2,542.35
293.03,68,27.0,2.53,485.17
293.33,67,21.0,2.62,375.05
292.51,68,20.0,2.7,218.33
292.23,71,21.0,2.31,54.98
289.61,83,17.0,1.93,0.0
289.78,84,18.0,2.1,0.0
288.81,88,15.0,2.02,0.0
286.93,91,12.0,1.94,0.0
286.65,91,10.0,2.2,0.0
285.07,94,7.0,2.53,0.0
284.13,94,4.0,2.73,0.0
284.13,95,6.0,2.52,0.0
283.54,96,4.0,2.42,0.0
283.41,97,92.0,2.38,0.0
282.15,99,89.0,1.7,0.0
282.56,98,28.0,1.82,0.0
282.79,98,23.0,1.4,0.0
282.76,98,18.0,1.22,0.0
282.79,100,22.0,1.15,62.73
282.72,100,19.0,1.11,237.75
281.56,100,6.0,1.06,408.58
282.75,99,1.0,1.05,536.48
285.85,90,1.0,1.36,604.9
287.15,87,4.0,1.38,606.77
289.76,79,4.0,1.07,542.52
290.01,76,16.0,1.69,417.6
288.97,76,8.0,1.89,248.58
289.07,77,19.0,1.44,69.7
288.16,85,20.0,1.45,0.0
289.41,76,15.0,0.87,0.0
287.59,84,8.0,0.97,0.0
283.86,97,10.0,1.78,0.0
284.35,97,4.0,1.82,0.0
283.74,97,9.0,2.24,0.0
283.74,96,8.0,2.47,0.0
283.51,95,6.0,2.68,0.0
282.83,94,6.0,2.65,0.0
282.67,94,8.0,2.6,0.0
280.99,94,17.0,2.37,0.0
280.63,93,55.0,2.17,0.0
280.37,93,90.0,2.92,0.0
280.51,91,93.0,1.55,0.0
281.34,90,93.0,2.01,74.55
282.36,84,92.0,2.25,269.3
284.57,78,38.0,1.53,449.77
288.33,68,6.0,0.35,583.6
289.32,68,0.0,0.9,633.27
288.84,73,0.0,2.1,638.65
289.65,74,0.0,2.36,575.12
290.6,75,2.0,1.62,448.6
288.93,78,4.0,1.61,274.4
288.38,84,0.0,1.69,83.55
286.55,87,0.0,2.38,0.0
287.81,85,0.0,2.71,0.0
287.36,87,0.0,2.38,0.0
